,Total Money,Total Chips,Total Capabilities Growth Rate,GDP
75,2.235416368193504e+23,11255.260023029512,4.75040865819414e+24,"{'US': -702.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1648.1000230295117, 'SKorea': -109, 'Germany': -2.0}"
76,2.2526601496496196e+23,11255.334020726194,4.879378760580614e+24,"{'US': -702.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1622.1740207261942, 'SKorea': -109, 'Germany': -2.0}"
77,2.262660149649619e+23,11255.400614991355,5.009912430149165e+24,"{'US': -702.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.240614991354, 'SKorea': -109, 'Germany': -2.0}"
78,2.2726601496496187e+23,11265.460550795004,5.140743121925375e+24,"{'US': -702.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.3005507950024, 'SKorea': -109, 'Germany': -2.0}"
79,2.301660149649619e+23,11265.514501109661,5.272434490126708e+24,"{'US': -756.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.3545011096621, 'SKorea': -109, 'Germany': -2.0}"
80,2.298964784782327e+23,11265.563050996512,5.404779802924948e+24,"{'US': -804.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.403050996511, 'SKorea': -109, 'Germany': -2.0}"
81,2.3279647847823272e+23,11265.584896264249,5.538240006425037e+24,"{'US': -852.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.4248962642487, 'SKorea': -109, 'Germany': -2.0}"
82,2.355964784782327e+23,11265.645874680122,5.674046993656926e+24,"{'US': -876.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.4858746801224, 'SKorea': -109, 'Germany': -2.0}"
83,2.365964784782327e+23,11265.677924891319,5.80955519765803e+24,"{'US': -900.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.5179248913182, 'SKorea': -109, 'Germany': -2.0}"
84,2.385964784782327e+23,11265.697390953388,5.947082689520042e+24,"{'US': -924.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.5373909533882, 'SKorea': -109, 'Germany': -2.0}"
85,2.4159647847823266e+23,11265.74055257173,6.084230432767045e+24,"{'US': -976.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.58055257173, 'SKorea': -109, 'Germany': -2.0}"
